,Release Date,Season,Episode,Episode Title,Name,Sentence,label,score
0,2011-04-17,Season 1,Episode 1,Winter is Coming,waymar royce,"What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces.",disgust,0.8400837182998657
1,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life.",disgust,0.6117002367973328
2,2011-04-17,Season 1,Episode 1,Winter is Coming,waymar royce,How close did you get?,surprise,0.7143816947937012
3,2011-04-17,Season 1,Episode 1,Winter is Coming,will,Close as any man would.,neutral,0.9114254713058472
4,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,We should head back to the wall.,fear,0.42081132531166077
5,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,Do the dead frighten you?,fear,0.9559083580970764
6,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,neutral,0.6202900409698486
7,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,You don't think he'll ask us how they died? Get back on your horse.,surprise,0.7657095193862915
8,2011-04-17,Season 1,Episode 1,Winter is Coming,will,Whatever did it to them could do it to us. They even killed the children.,anger,0.5590818524360657
9,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",anger,0.6356110572814941
10,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,Your dead men seem to have moved camp.,neutral,0.5159046053886414
11,2011-04-17,Season 1,Episode 1,Winter is Coming,will,They were here.,neutral,0.8349234461784363
12,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,See where they went.,neutral,0.9458221197128296
13,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,What is it?,surprise,0.5850772857666016
14,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,It's …,neutral,0.8170824646949768
15,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Go on. Father's watching.,neutral,0.3842598497867584
16,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,And your mother.,anger,0.4297430217266083
17,2011-04-17,Season 1,Episode 1,Winter is Coming,septa mordane,"Fine work, as always. Well done.",neutral,0.6922541260719299
18,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Thank you.,neutral,0.6663596034049988
19,2011-04-17,Season 1,Episode 1,Winter is Coming,septa mordane,I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,joy,0.7820842862129211
20,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",neutral,0.6362764835357666
21,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,"Don't think too much, Bran.",neutral,0.6491799354553223
